Name,enter_date,previous_school,new_school
CARSON PEPPERS,2025-04-01,Shorter University,
WESLEY ATHEY,2025-04-02,Davis & Elkins College,
JASON DEL VILLAR,2025-04-01,Sonoma State University,
ELI HANCOCK,2025-04-01,Sonoma State University,
JARED ESPARZA,2025-04-01,Sonoma State University,
BRADY ZOPF,2025-04-01,Emmanuel University (Georgia),
DOMINICK LOMBARDI,2025-04-01,Sonoma State University,
SKYLER SIEVERT,2025-04-01,San Francisco State University,
WILLIAM FULBRIGHT,2025-04-02,King University,
SETH SHERMAN-LOUIS,2025-04-02,Tusculum University,
ANTHONY COBB,2025-04-02,Tusculum University,
JACK LYNDRUP,2025-04-02,Tusculum University,
JAKE CHAISONGKRAM,2025-04-03,Dominican University New York,
NICHOLAS MACKOOL,2025-04-02,Spring Hill College,
CAMERON CREWS,2025-04-02,Barton College,
CHANDLER THIEL,2025-04-03,University of North Georgia,
KYLE ROBITZSCH,2025-04-03,University of North Georgia,
ARON HARRINGTON,2025-04-03,Missouri Southern State University,
SAMUEL SISSON,2025-05-12,Lee University,
CALEB MULCAHY,2025-05-05,Tusculum University,
LANDON PYLES,2025-04-03,Eastern New Mexico University,
XAVIER DELGADO,2025-04-04,Barry University,
CAMDEN ANDREWS,2025-04-03,San Francisco State University,
ARMANDO MURILLO,2025-04-25,San Francisco State University,
NICHOLAS STINSON,2025-04-04,University of North Georgia,
BRYCE GOODWINE,2025-04-04,University of Indianapolis,
CHAN YOON,2025-04-04,Newman University,
KENDRY NORIEGA,2025-04-08,Barry University,
ALEXANDER DICUS,2025-04-07,Holy Family University,
KADEN RUSSO,2025-04-07,"Concordia University, St. Paul",
FELIX DIAZ,2025-04-15,Barry University,
COOPER SMITH,2025-04-07,Flagler College,
GEORGE WONICA,2025-04-08,Bloomfield College,
MICHAEL PANICHI,2025-04-08,Sonoma State University,
JAMES BRUNO,2025-04-15,Barry University,
LUCAS SMITH,2025-04-20,Limestone University,
RONALD ROBINSON III,2025-04-08,Coker University,
ETHAN RENSHAW,2025-04-09,Erskine College,
WILLIAM BURCH,2025-04-09,"University of Arkansas, Fort Smith",
ISAIAH WELLMAN,2025-04-09,Flagler College,
RIVER DIAZ DE LEON,2025-04-09,San Francisco State University,
ANTHONY ALVAREZ,2025-04-09,San Francisco State University,
TYLER OHLSON,2025-04-09,San Francisco State University,
KEEDAN NADEAU,2025-04-09,"California State University, San Bernardino",
GAVIN BAXTER,2025-05-12,Lee University,
MICHAEL RACOBALDO,2025-04-16,Spring Hill College,
GARRETT GREGORY,2025-04-10,Tusculum University,
SAWYER PACE,2025-04-11,Tusculum University,
AUSTIN ZABALA,2025-04-11,Shorter University,
BRIAN CESPEDES,2025-04-12,Bloomfield College,
ROSS DIVERS,2025-04-15,Emory & Henry University,
HARRY VARGAS SEGURA,2025-05-07,Barry University,
COOPER TYMKO,2025-04-14,Mars Hill University,
BRYCE ANDERSON,2025-04-16,Spring Hill College,
MATTHEW PAOLUCCI,2025-04-14,St. Thomas Aquinas College,
JOHN UCHYTIL,2025-04-14,Sonoma State University,
RYAN THOMPSON,2025-04-15,Concord University,
DREW PIASKOWY,2025-04-14,Missouri Southern State University,
BRADEN SELLZ,2025-04-14,Sonoma State University,
MARC CANCELLIERE JR,2025-04-15,Belmont Abbey College,
LOGAN HOWLAND,2025-04-15,Belmont Abbey College,
CADEN KRESAK,2025-04-15,Flagler College,
HARRISON BARNES,2025-04-15,Tuskegee University,
JULIAN HINES,2025-04-15,Carson-Newman University,
JOHNNY DELAROSA,2025-04-15,Saint Leo University,
JACK TAYLOR,2025-04-17,Spring Hill College,
SHAWN JACKSON JR,2025-04-17,Bloomfield College,
NATANGEL SANTANA,2025-04-17,Barry University,
COLBY RAFAIL,2025-04-16,San Francisco State University,
STEPHEN ESPINOZA,2025-04-16,San Francisco State University,
NICOLAS BACURA,2025-04-16,San Francisco State University,
KYLE OLIMPIA,2025-04-17,San Francisco State University,
MANUEL MARTINEZ-BETANCES,2025-04-17,Mercy University,
SCOUT MARTIN,2025-04-17,Tusculum University,
MASON HUFFSTICKLER,2025-04-17,Tusculum University,
BRETT SCHLANGEN,2025-04-17,Southwest Minnesota State University,
OWEN ALSUP,2025-04-18,West Texas A&M University,
JUSTIN FLANNERY,2025-04-17,Menlo College,
ETHAN BONOCORE,2025-04-18,Limestone University,
EMMETT ADAMS,2025-04-18,Limestone University,
NICHOLAS BONOLLO,2025-04-18,Limestone University,
SKYLER BRAY,2025-04-18,Limestone University,
ETHAN CARPENTER,2025-04-18,Limestone University,
BEN CATRAMBONE,2025-04-18,Limestone University,
JACKSON DAVIS,2025-04-18,Limestone University,
TYLER DEAN,2025-04-18,Limestone University,
CHARLES DUFFY,2025-04-18,Limestone University,
PERRY DYER,2025-04-18,Limestone University,
BAILEY FAIRCLOTH,2025-04-18,Limestone University,
ADAMS FAUCETT,2025-04-18,Limestone University,
GARRETT FROST,2025-04-18,Limestone University,
TREVIN GARNER,2025-04-18,Limestone University,
AARON GEORGE,2025-04-18,Limestone University,
COLIN GOLDSMITH,2025-04-18,Limestone University,
ZACHARY GREENBERG,2025-04-18,Limestone University,
SCOTT HARDY,2025-04-18,Limestone University,
EVAN HAVRELUK,2025-04-18,Limestone University,
KEVIN HEBERT,2025-04-18,Limestone University,
COREY HODIERNE,2025-04-18,Limestone University,
HUNTER HOFFMAN,2025-04-18,Limestone University,
BROCK HOLDER,2025-04-18,Limestone University,
TYLER HUGHESMAN,2025-04-18,Limestone University,
RONALD HUMPHRIES,2025-04-18,Limestone University,
COLE KIRSCHNER,2025-04-18,Limestone University,
PAUL LEE,2025-04-18,Limestone University,
"MICHAEL MOISE, JR.",2025-04-18,Limestone University,
MCKINLEY MYLES,2025-04-18,Limestone University,
KEMPER NIX,2025-04-18,Limestone University,
JACKSON RIVERS,2025-04-18,Limestone University,
MADDOX ROBINSON,2025-04-18,Limestone University,
JADDEN RODRIGUEZ,2025-04-18,Limestone University,
NATHANIEL ROLLER,2025-04-18,Limestone University,
THOMAS RUPP,2025-04-18,Limestone University,
ZACHARY SAXTON,2025-04-18,Limestone University,
GIUSEPPE SEIDITA,2025-04-19,Limestone University,
EVAN SOEFFKER,2025-04-18,Limestone University,
WYATT STONE,2025-04-18,Limestone University,
CARTER VAN ORDEN,2025-04-18,Limestone University,
THOMAS VINESETT,2025-04-18,Limestone University,
JOHN WEISMAN,2025-04-18,Limestone University,
COLT WILKINS,2025-04-18,Limestone University,
JAKE YOUNG,2025-04-18,Limestone University,
JARED ROGERS,2025-04-18,Lander University,
CONNER ELLIOTT,2025-04-19,Limestone University,
MADDOX HATCHER,2025-04-19,Limestone University,
WINSTON PARKE,2025-04-19,Limestone University,
TYLER KYTTA,2025-04-19,Limestone University,
MATTHEW NEGLIA,2025-04-19,St. Thomas Aquinas College,
LANE WEISMILLER,2025-04-20,University of Charleston (West Virginia),
KHALIL TOLSON,2025-04-21,Limestone University,
LUCAS BROOKS,2025-04-21,Limestone University,
JOSHUA OCHOA,2025-04-21,"California State University, Stanislaus",
VINCENT SANTOSTEFANO,2025-04-21,Francis Marion University,
JOHN DOWNEY JR.,2025-04-22,Bloomfield College,
WYATT REGINATO,2025-04-21,Colorado State University Pueblo,
GAVIN WAGNER,2025-04-22,University of Charleston (West Virginia),
PEIGHTON VARGAS,2025-04-22,University of Charleston (West Virginia),
JOSEPH AMUNATEGUI,2025-04-22,King University,
GRIFFIN ALMOND,2025-04-22,Eastern New Mexico University,
JOUTHAN SIERRA,2025-04-22,Eastern New Mexico University,
ROMAN REED,2025-04-22,Thomas Jefferson University,
TYSON WILLIS,2025-04-22,University of Charleston (West Virginia),
TANNER EVANS,2025-04-22,University of Charleston (West Virginia),
MATTHEW DELPH,2025-05-12,Lee University,
LEVI HALL,2025-04-22,Vanguard University ,
MICHAEL SARHATT,2025-04-23,Point Loma Nazarene University,
JACOB KENT,2025-04-23,Tusculum University,
TYLER TAMARGO,2025-04-23,Tusculum University,
ADRIAN RUBIO,2025-04-23,Eastern New Mexico University,
JONATHAN MEDINA,2025-04-23,Georgia Southwestern State University,
RYAN KRZEMIENSKI,2025-04-23,St. Thomas Aquinas College,
JOHN MARGOLIES,2025-04-23,St. Thomas Aquinas College,
DOMINICK CONIGLIO,2025-04-23,St. Thomas Aquinas College,
JOSHUA ORTIZ,2025-04-23,St. Thomas Aquinas College,
TYLER PARKS,2025-04-23,University of Charleston (West Virginia),
TYLER ARMSTRONG,2025-04-23,University of Charleston (West Virginia),
AUSTIN PERANDO,2025-04-23,University of Charleston (West Virginia),
DAVIS STOECKERT,2025-04-23,University of Charleston (West Virginia),
ANDY PACHECO,2025-04-23,Emporia State University,
RYAN CAROLAN,2025-04-23,Oklahoma Christian University,
JOSAIAH ESTRELLA,2025-04-25,Eastern New Mexico University,
LUCIANO TERILLI,2025-04-25,Eastern New Mexico University,
AODHAN LINEHAN,2025-05-08,University of Mary,
TRAVIS FARRELL,2025-04-23,Colorado State University Pueblo,
SHEA BOWEN,2025-05-12,Lubbock Christian University,
RYAN STONE,2025-04-23,Jessup University ,
KAYDE IRANON,2025-04-23,Jessup University ,
AIDEN BRUNNER,2025-04-23,University of Charleston (West Virginia),
MAX SHABESTARI,2025-04-23,Sonoma State University,
COLTON EGGERDING,2025-04-24,Truman State University,
BRANDON BREAKELL,2025-04-24,Saint Michael's College,
DAVID BREAKELL,2025-04-24,Saint Michael's College,
ALEXANDER CLARK,2025-04-24,Quincy University,
TANNER CALLAHAN,2025-04-24,"University of Arkansas, Fort Smith",
EDWARD MATEO,2025-04-24,Point Park University,
CARSON MOORE,2025-04-24,Barton College,
DANIEL PRUITT,2025-04-25,Eastern New Mexico University,
TUCKER MCSWAIN,2025-04-24,Limestone University,
EVAN MOYER,2025-04-24,Sonoma State University,
ZACHARY VASCONCELLOS,2025-04-30,Barry University,
GARRETT TEUNISSEN,2025-04-24,"California State University, San Marcos",
ANGEL FACIO,2025-04-24,New Mexico Highlands University,
ANDREW MCBRIDE,2025-04-24,Albany State University (Georgia),
TODD LITTLE,2025-04-24,Albany State University (Georgia),
GERCAL REYES ALVARADO,2025-04-24,Albany State University (Georgia),
ALEC MENDOZA,2025-04-25,University of Charleston (West Virginia),
NOLAN MOORE,2025-04-25,University of Charleston (West Virginia),
AIDAN STEWART,2025-04-25,Lander University,
DIEGO GONZALEZ,2025-04-25,Northern State University,
PAYTON WEHNER,2025-04-25,McKendree University,
LANDON KIEFER,2025-04-25,Albany State University (Georgia),
JACK GRANT,2025-04-25,Jessup University ,
TRAVIS CHESTNUT,2025-04-26,St. Edward's University,
ETHAN IPOCK,2025-04-27,Limestone University,
JUSTIN JOHNSON,2025-04-27,Limestone University,
VICTOR MUNOZ,2025-04-27,Cameron University,
JOSHUA MARTINEZ,2025-04-27,Cameron University,
JAXON SANCHEZ,2025-04-28,Tiffin University,
MALACHI JEFFRIES,2025-04-28,Shorter University,
XAVIER CRISMOND,2025-04-28,University of Charleston (West Virginia),
ROBERT HARTMAN,2025-04-28,University of Charleston (West Virginia),
CLAYTON HARGUS,2025-04-28,Erskine College,
DARIUS DAVIS,2025-04-28,Barton College,
WILLIAM SNELSON,2025-05-08,Union University,
BLAKE HOLSHOUSER,2025-04-28,Erskine College,
QUENTIN GRAVES,2025-04-28,Mars Hill University,
BLAKE RUSSELL,2025-04-28,Mars Hill University,
CALEB SMITH,2025-04-28,Mars Hill University,
JAKE HILL,2025-04-28,Flagler College,
BRIAN O'CONNELL III,2025-04-28,University of Tampa,
BRADY BELFUS,2025-04-28,St. Thomas Aquinas College,
NICK POSS,2025-04-28,Jessup University ,
JORDAN JACKSON,2025-04-28,Claflin University,
CODY HILL,2025-04-28,Cameron University,
KEITH DURAND JR,2025-04-28,Edward Waters University,
GABRIEL TAPIA,2025-04-28,Sonoma State University,
COREY MULHOLLAND,2025-04-28,Dominican University New York,
ZANE ROOS,2025-04-28,Cameron University,
COOPER WEATHERLY,2025-04-28,Cameron University,
KAEL POLAND,2025-04-28,University of Findlay,
KEEGAN CUBBISON,2025-04-28,University of Findlay,
HAYDEN WOODWARD,2025-04-28,University of Findlay,
GRIFFIN PICKHARDT,2025-04-28,Southern Wesleyan University,
KALEB ROBERTS,2025-04-28,Cameron University,
WILLIAM SOMERS,2025-04-28,Point Park University,
GAGE MCANALLY,2025-04-28,Sul Ross State University,
ETHAN COHEN,2025-04-28,West Virginia State University,
LEVI MEDFORD,2025-04-28,King University,
AARON GOUWENS,2025-04-28,Roosevelt University,
STEVEN SMITH,2025-04-28,Emory & Henry University,
JACOB IVERSON,2025-04-29,Emory & Henry University,
ASHER PETERMAN,2025-04-28,Emory & Henry University,
JOSHUA SHAVER,2025-04-28,Southern Wesleyan University,
AIDAN DUGGAN,2025-04-28,Cameron University,
BEAU YASUI,2025-04-28,Jessup University ,
HUNTER HITT,2025-04-28,Cameron University,
SKYLAR LENIHAN,2025-04-28,Chaminade University,
BENITO NAZARIO,2025-04-28,Chaminade University,
MASON MCDONALD,2025-04-29,Salem University (West Virginia),
NATHAN SAAVEDRA,2025-04-29,Albany State University (Georgia),
COLLINS ST. AMANT,2025-04-29,Colorado School of Mines,
CAMERON THROWER,2025-04-29,Southern Arkansas University,
MICAH HILL,2025-04-29,The University of Virginia's College at Wise,
NOAH TOFAN,2025-04-29,Sul Ross State University,
JOSHUA SCHLEICHARDT,2025-04-29,Vanguard University ,
MICHAEL CLARKSON,2025-05-12,Anderson University (South Carolina),
ANDREW GONZALEZ,2025-04-29,Thomas Jefferson University,
VINCENT LENCIONI,2025-04-29,Sonoma State University,
LUKE LENSING,2025-04-29,Cameron University,
JAYLEN MORGAN,2025-04-30,Southern Wesleyan University,
KADEN HEATHERLY,2025-04-30,University of Montevallo,
MITT LANDERS,2025-04-30,University of Montevallo,
ERICH RADZINSKI,2025-04-30,University of Montevallo,
LUKE HIGGINS,2025-04-29,"California State University, San Marcos",
WILLIAM SLOAN,2025-04-30,University of Montevallo,
COREY WOOD,2025-04-30,University of Montevallo,
BANKS ARNOLD,2025-05-12,Anderson University (South Carolina),
JAYCE BASER,2025-04-29,Southwest Baptist University,
FRAYNER CHAVEZ,2025-04-29,Lubbock Christian University,
NOAH SOUZA,2025-04-29,Sonoma State University,
DREW ANDREWS,2025-04-29,Jessup University ,
DYLAN SHEA,2025-04-29,Eastern New Mexico University,
JOSE SALCEDO,2025-04-29,The University of Texas Permian Basin,
TREVOR STROSNIDER II,2025-04-29,Emory & Henry University,
CARSON WEATHERS,2025-05-10,University of South Carolina Beaufort,
CHRISTIAN MAIGE,2025-04-30,Erskine College,
AUSTIN DELGADO,2025-05-01,D'Youville University,
DANIEL DINORCIA,2025-04-30,Georgia Southwestern State University,
FRANK SCERRA,2025-05-01,Bloomfield College,
JACKSON WEBSTER,2025-05-01,University of Montevallo,
VINCENT ARMELLINO,2025-04-30,Saint Michael's College,
GAVIN RAAB,2025-04-30,Mars Hill University,
BERNARD CORONADO,2025-05-01,Bloomfield College,
ANTHONY GAGLIARDO,2025-04-30,Dominican University New York,
WALKER FOX,2025-04-30,Mars Hill University,
HERMAN LUNA,2025-04-30,Sonoma State University,
ROMAN CONNOLLY,2025-04-30,Eastern New Mexico University,
LUKE IVANOFF,2025-04-30,Sonoma State University,
JAMES KELLY,2025-04-30,Mars Hill University,
JACKSON JONES,2025-04-30,Mars Hill University,
ROMAN EDWARDS,2025-04-30,Erskine College,
JOSHUA HUNGLER,2025-04-30,Erskine College,
DEIONDRE SEIGLA,2025-04-30,Mars Hill University,
GEORGE BOLLIBON,2025-04-30,Mars Hill University,
THOMAS GARDNER,2025-04-30,Mars Hill University,
"JASON COLLINS, JR.",2025-05-01,Barry University,
ISAAC ABALO,2025-04-30,Mars Hill University,
JOSEPH CHILDERS,2025-05-12,Anderson University (South Carolina),
REID JACOB,2025-04-30,Southern Nazarene University,
KEENAN SHAW,2025-04-30,Menlo College,
CHASE BARSOTTI,2025-04-30,Menlo College,
JACK LONNEMAN,2025-04-30,Tiffin University,
HUDSON CEPPARULO,2025-05-08,Union University,
DANIEL HURST,2025-04-30,Colorado Christian University,
SCOTT WILLIAMS,2025-05-01,Tuskegee University,
VINCENZO BRUNO,2025-04-30,University of Bridgeport,
TUCKER GIDEON,2025-04-30,Eastern New Mexico University,
ROBERT BLACKMON,2025-04-30,Erskine College,
HAWK HILL,2025-04-30,Sonoma State University,
CHRISTIAN PENCEK,2025-04-30,Lincoln Memorial University,
CARTER WHITE,2025-04-30,Lincoln Memorial University,
DANELLE DANIELS,2025-05-01,"California State University, East Bay",
JONATHAN WESTBAY,2025-05-01,Erskine College,
FRANNY MEDINA,2025-05-02,Bloomfield College,
JOSEPH KLINE,2025-05-02,Bloomfield College,
NICHOLAS MEYER,2025-05-01,Oklahoma Baptist University,
GARRET BARTO,2025-05-01,Sonoma State University,
CARTER OHLEEN,2025-05-01,Northern State University,
TAVEN HATHAWAY,2025-05-01,The University of Texas Permian Basin,
SCOTT ENNIST,2025-05-01,Chestnut Hill College,
JESSE LANCE,2025-05-01,Georgian Court University,
JALEN SMITH,2025-05-01,Christian Brothers University,
REID LISLE,2025-05-01,Eckerd College,
MICHAEL FELUMERO,2025-05-02,Bloomfield College,
KAILER SAUNDERS,2025-05-01,Northwest Nazarene University,
CEDRIC POELLNITZ,2025-05-01,Kentucky State University,
ELI POTTER,2025-05-01,Christian Brothers University,
ALEX MAUSHART,2025-05-08,University of Mary,
NATHAN BORCHARDT,2025-05-01,King University,
PATRICK CORLEY,2025-05-01,King University,
JAYLON WOODLEY,2025-05-01,King University,
GABE CLYDEN,2025-05-01,Cameron University,
AUSTIN EPPERSON,2025-05-01,Lincoln Memorial University,
DANNY SIMMONS,2025-05-01,Lincoln Memorial University,
HANSEN HUTH,2025-05-02,Ashland University,
LAWSON RYAN,2025-05-02,Christian Brothers University,
DAKOTA JOGGERST,2025-05-02,Truman State University,
ANDREW REED,2025-05-02,Christian Brothers University,
ANDRES VARAS,2025-05-03,Bloomfield College,
ADRIAN GUERRERO,2025-05-02,University of Texas at Dallas,
DOMINIC OTT,2025-05-02,Jessup University ,
HAYDEN ZAFFINO,2025-05-02,"Pennsylvania Western University, California",
OWEN SWANSON,2025-05-02,"University of Minnesota, Crookston",
TAYLOR MCDANIEL,2025-05-02,The University of Texas Permian Basin,
ELIAN ESTRELLA RICOURT,2025-05-03,Bloomfield College,
MASON TACKETT,2025-05-06,Ashland University,
AIDAN BECKER,2025-05-02,Sul Ross State University,
BENEN FERNANDEZ,2025-05-02,Miles College,
DOMINIC OTTONE,2025-05-03,Columbus State University,
RYAN HURSHE,2025-05-02,Tiffin University,
BRIAN KLUMPP,2025-05-02,St. Thomas Aquinas College,
MATTHEW CALLAGHAN,2025-05-12,St. Thomas Aquinas College,
WILLIAM SMITH,2025-05-02,Holy Family University,
JUAN ROMERO,2025-05-03,Bloomfield College,
MIGUEL BURGOS,2025-05-03,Bloomfield College,
ERIC ARREOLA,2025-05-03,Lubbock Christian University,
JACOB MANTIPLY,2025-05-02,Chaminade University,
AUSTIN WATSON,2025-05-02,Fresno Pacific University,
EVAN KIRK,2025-05-03,University of Montevallo,
RODNEY DE JESUS,2025-05-02,Miles College,
DAVID HOWARD,2025-05-02,Sonoma State University,
DANIEL KOPPISCH,2025-05-04,Bloomsburg University of Pennsylvania,
WILLIAM MITCHELL,2025-05-04,University of South Carolina Beaufort,
KYLE ROGERS,2025-05-04,St. Thomas Aquinas College,
CHRISTOPHER CUMBO,2025-05-05,St. Thomas Aquinas College,
BRADEN SEEBER,2025-05-04,St. Thomas Aquinas College,
ANTHONY HOLTJE,2025-05-04,St. Thomas Aquinas College,
SEBASTIAN LOCURTO,2025-05-04,St. Thomas Aquinas College,
JAMES KAHN,2025-05-04,St. Thomas Aquinas College,
JUSTIN KLAYMAN,2025-05-04,St. Thomas Aquinas College,
JOSHUA WISE,2025-05-04,Chowan University,
ROWAN HUDSON,2025-05-04,Chowan University,
MATTHEW LOVITT,2025-05-04,Chowan University,
NICOLAS CATALDO,2025-05-04,Chowan University,
CARSON HERVEY,2025-05-04,Chowan University,
GREG CRISTINO,2025-05-04,Bloomsburg University of Pennsylvania,
NOAH SIMPSON,2025-05-04,Chowan University,
JONATHAN FERNANDEZ-ANDREW,2025-05-05,Georgia Southwestern State University,
RI'SHON PEARL,2025-05-05,Benedict College,
SHANE WILLIAMS,2025-05-05,Benedict College,
SETH CROWE,2025-05-05,Shorter University,
HUNTER SMITH,2025-05-05,Southwestern Oklahoma State University,
STEVEN MERKEL,2025-05-06,Wheeling University,
ETHAN RALPH,2025-05-05,The University of Texas Permian Basin,
MICHAEL NORTON,2025-05-05,Wheeling University,
MATTHEW ARNOLD,2025-05-05,Maryville University of Saint Louis,
GIOVANNI GASTELUM,2025-05-05,The University of Texas Permian Basin,
PRESLEY WALKER,2025-05-05,University of Alabama in Huntsville,
GAVIN SCHIEFFER,2025-05-05,Truman State University,
AARON MORALES,2025-05-05,Sul Ross State University,
JAYDEN JONES,2025-05-05,Benedict College,
EDWARD PEINE,2025-05-05,Northern State University,
RUDOLPH RODRIGUEZ,2025-05-05,Jessup University ,
GRANT LINDHOLM,2025-05-05,"University of Minnesota, Crookston",
DANIEL POWELL,2025-05-05,Bluefield State University,
WYATT GETZ,2025-05-05,Shorter University,
COLE TAYLOR,2025-05-05,Shorter University,
BLYTHE KEISLER,2025-05-06,Augusta University,
LADORIAN JORDAN,2025-05-05,Shorter University,
MARSHALL FLOWERS,2025-05-06,Augusta University,
ZACORION BARKLEY,2025-05-05,Shorter University,
DANIEL QUINTANA,2025-05-09,Shepherd University,
DIVINE VALLE,2025-05-06,Shorter University,
MATTHEW RAO,2025-05-06,Bloomfield College,
ROBERT HUNT,2025-05-06,Augusta University,
KYLE DUCKWALL,2025-05-06,Augusta University,
JACKSON UGGLA,2025-05-05,Lenoir-Rhyne University,
EASTON STECK,2025-05-06,University of Illinois Springfield,
ISAAC SAMANO,2025-05-05,Christian Brothers University,
MICHAEL O'NEILL,2025-05-05,Lane College,
CHASE GILLIGAN,2025-05-09,Florida Institute of Technology,
NOAH MADOLE,2025-05-05,Vanguard University ,
BRADEN MOON,2025-05-06,Florida Institute of Technology,
AKHIL NIMMALA,2025-05-09,Florida Institute of Technology,
JORDAN ALLEN,2025-05-05,Henderson State University,
PHOENIX SOMMAY,2025-05-05,"California State University, San Marcos",
MIGUEL CORREA JR,2025-05-12,Thomas More University,
