Name,enter_date,previous_school,new_school
LOGAN NAPOLEON,2025-01-08,The University of Virginia's College at Wise,
ANDREW GEORGE,2025-05-06,Hillsdale College,
OWEN CANTER,2025-01-03,Walsh University,
CARY ARBOLIDA,2025-02-11,University of Tampa,
NOAH LOPEZ,2025-01-06,Dominican University New York,
ZACHARY ABBOTT,2025-01-07,Saint Anselm College,
DONTRE' HENRY,2025-01-08,Miles College,
LINCOLN ASCHER,2025-01-09,University of Central Missouri,
ALBERTO OSUNA SANCHEZ,2025-02-05,University of Tampa,
SAM LISIAK,2025-01-13,Biola University,
AUSTIN MANCE,2025-01-14,Young Harris College,
MARTIN MALICK JR,2025-01-13,Miles College,
JACKSON JONES,2025-01-15,Harding University,
CHARLES HODGES,2025-01-22,Rollins College,
BRANDON RUIZ,2025-01-16,Biola University,
JOSEPH GINN,2025-01-18,Davis & Elkins College,
TORII CHANEY,2025-01-20,Miles College,
FREDERICK CHANEY,2025-01-20,Miles College,
CARTER RUST,2025-01-21,University of Charleston (West Virginia),
JESUS RODRIGUEZ,2025-01-22,Barry University,
TRAVIS WILSON,2025-01-21,Belmont Abbey College,
CONNOR FOLDS,2025-01-22,Wingate University,
AVERY STRICKLAND,2025-02-19,Newberry College,
MIGUEL PEREZ III,2025-01-23,Dominican University New York,
TRE'BION LINDSAY II,2025-01-26,LeMoyne-Owen College,
CHARLES CAPRETTA,2025-01-28,Georgia College,
ANTHONY ECKERSON,2025-01-28,Holy Family University,
CADEN RECTOR,2025-01-29,Chowan University,
SHANE CALLISON,2025-01-29,Sonoma State University,
KAI GIRO,2025-01-31,Belmont Abbey College,
TRE'BION LINDSAY II,2025-02-03,LeMoyne-Owen College,
CODY JONES,2025-02-04,University of Indianapolis,
BRADLEY WHITE,2025-04-11,Eckerd College,
DYLAN KOCH,2025-02-10,Pace University,
HUDSON LA BARBERA POIRIER,2025-02-10,Sonoma State University,
KOBE ROLLING,2025-02-10,Sonoma State University,
TYLER CRUDO,2025-02-10,Sonoma State University,
JUDSON ARD,2025-04-09,University of North Georgia,
LOGAN STARNES,2025-02-11,Miles College,
ANDREWS OPATA,2025-04-04,University of North Georgia,
ELIJAH HENDERSON,2025-02-11,Coker University,
DANIEL PATTERSON,2025-02-12,Westmont College,
BRYAN PECK,2025-02-12,Westmont College,
EDWIN BOWMAN IV,2025-02-13,University of North Georgia,
AAREON MONROE,2025-02-13,Chestnut Hill College,
ZACHARY YATES,2025-02-14,Westmont College,
SWAROOP PUJARI,2025-02-19,The University of Texas Permian Basin,
JUSTIN LUCAS,2025-02-20,Sonoma State University,
CHANDLER MAURICE,2025-02-21,"Pennsylvania Western University, Clarion",
CHARLES DEAN,2025-02-21,Ohio Dominican University,
DAWSON BOCHENEK,2025-02-21,Barton College,
AUSTIN NOEL,2025-05-10,The University of Texas Permian Basin,
VINCENT PROIETTO,2025-02-24,Holy Family University,
JORDAN ORTIZ,2025-03-14,Post University,
ETHAN REYES,2025-02-28,Florida Southern College,
DYLAN EDWARDS,2025-03-03,Western Oregon University,
JACKSON PETERS,2025-03-06,St. Edward's University,
JOSUE CEPEDA,2025-03-08,Bloomfield College,
ZACHARY ALBURG,2025-03-07,University of Wisconsin-Parkside,
RYAN PEREZ,2025-03-10,St. Edward's University,
ZACHARY RUTH,2025-03-20,Post University,
MATTEO KARCIC,2025-03-11,University of Bridgeport,
JOHN YANCEY,2025-03-11,Chowan University,
MICHAEL MORRISON,2025-03-14,Augusta University,
KELLER SLOTNICK,2025-03-13,Shorter University,
DEREX CANCEL,2025-03-14,Florida Southern College,
WILLIAM CONRAD IV,2025-03-17,West Chester University of Pennsylvania,
RYAN TORRES,2025-03-18,Erskine College,
BRANDON MORGAN,2025-03-18,Erskine College,
KENYEN FERGUSON,2025-03-18,Erskine College,
JOSIAH SALEEM,2025-03-18,Kentucky State University,
ALEXANDER HEFTI,2025-03-18,Florida Southern College,
HUNTER KAUL,2025-03-18,Biola University,
LUKE EARNHARDT,2025-03-19,University of North Georgia,
DAWSON TURNER,2025-03-19,Saint Leo University,
KYLE BRINDISI,2025-03-19,Holy Family University,
NICHOLAS ALLRED,2025-03-20,San Francisco State University,
MICHAEL CUNNINGHAM,2025-04-25,San Francisco State University,
RYAN KELLEY,2025-03-24,Limestone University,
JERRIN LOOMIS,2025-03-24,Lock Haven University of Pennsylvania,
CARSON ERLEWINE,2025-03-24,Francis Marion University,
MIKE PALENZUELA,2025-03-25,Barry University,
RICKERT KOCH JOHANNSEN,2025-03-25,Eckerd College,
MICHAEL BARKMAN,2025-03-26,Tiffin University,
MATTHEW HEARD,2025-03-26,University of North Georgia,
OWEN ABRAMS,2025-03-26,Oklahoma Christian University,
JACOB PRINCE,2025-03-27,University of North Georgia,
OMAR CARRERAS,2025-03-27,Tusculum University,
PRESTON KELLY,2025-03-27,"California State University, San Marcos",
ANDREW DEVITT,2025-03-28,Florida Southern College,
JUAN LOPEZ-TRINIDAD,2025-03-28,Florida Southern College,
NICHOLAS PERRY,2025-03-28,Colorado State University Pueblo,
CALEB WEBSTER,2025-03-28,Tusculum University,
AUSTIN DADEY,2025-03-28,Florida Southern College,
DEREK FARLEY,2025-03-31,Tusculum University,
BRANDON HAUK,2025-03-31,St. Thomas Aquinas College,
MIKELLE MASON,2025-03-31,Tuskegee University,
